"town","via","straight_km","rail_km","status"
"Cleburne","TexRail 3rd exp","25.7","25.9","routed"
"Alvarado","Texrail","39","44.4","routed"
"Bowie","FTW/Denton","96.9","108.1","routed"
"Chico","FTW/Denton","70.5","80.4","routed"
"Gainesville","FTW/Denton","89.7","105.8","routed"
"Sherman","A Train","78.3","92.3","routed"
"Terrell","TRE","49.9","55.2","routed"
"Kaufman","-","-","-","no rail near town (snap 14913m)"
"Ennis","TRE","51.9","54.5","routed"
"Waxahachie","SE TexRail","34","36.1","routed"
