"line","mode","src","n_segs","yr_min","yr_max","avg_spacing_km","min_km","max_km","flags"
"3","brt","extra","7","2035","2040","2.2","1.9","2.5","7"
"46","brt","extra","8","2035","2040","1.6","0.9","1.8","0"
"BRT","brt","extra","8","2035","2040","1.9","1.1","3.4","3"
"FW Crosstown Loop","brt","extra","26","2050","2050","2.1","0.9","3.4","19"
"Line 80","brt","extra","26","2050","2050","2.1","1.5","3.1","22"
"NAS JRB BRT","brt","extra","1","2040","2040","1.9","1.9","1.9","0"
"Woodhaven direct","brt","extra","6","2035","2040","1.9","1","2","5"
"A Train","commuter","extra","5","2025","2025","6.8","4.6","13.7","0"
"Alvarado Line (ROW)","commuter","extra","7","2060","2065","6.4","3.5","23.7","1"
"Bowie Line (ROW)","commuter","extra","7","2060","2070","15.5","3.5","45.9","2"
"Chico Line (ROW)","commuter","extra","5","2060","2070","16.1","3.5","52.3","1"
"Cleburne Line (ROW)","commuter","extra","2","2065","2065","13","12.5","13.5","0"
"Ennis Line (ROW)","commuter","extra","3","2060","2070","18.3","3.5","37.3","1"
"FTW/Denton","commuter","extra","7","2060","2070","6.5","2.5","25.5","1"
"Gainesville Line (ROW)","commuter","extra","6","2060","2070","17.5","3.5","54.1","2"
"SE TexRail","commuter","extra","7","2035","2045","4","3.5","7","0"
"Sherman Line (ROW)","commuter","extra","8","2060","2070","11.5","3.5","45.5","1"
"Terrell Line (ROW)","commuter","extra","10","2060","2065","5.5","3.5","18.7","1"
"TexPress Expansion","commuter","extra","6","2035","2045","3.5","3.5","3.5","0"
"Texrail","commuter","extra","7","2025","2025","6","1.3","14.9","0"
"TexRail 3rd exp","commuter","extra","4","2035","2045","3.5","3.5","3.5","0"
"TRE","commuter","extra","9","2025","2025","6.1","1.7","12.7","0"
"Waxahachie Line (ROW)","commuter","extra","3","2065","2065","11.9","7","17.6","1"
"Beltline Line","metro","extra","64","2060","2060","2.3","0.7","2.8","1"
"Blue Ctd","metro","extra","31","2050","2050","2","0.7","2.4","0"
"Blue Line","metro","extra","21","2025","2025","2.4","0.3","7.4","0"
"Cotton Belt","metro","extra","9","2025","2025","4.9","1.1","7.8","0"
"DNT Line - East","metro","extra","34","2050","2055","1.9","0.8","3.5","5"
"DNT Line - West","metro","extra","16","2035","2045","1.9","1","3.2","3"
"Green Line","metro","extra","23","2025","2025","2","0.3","4.8","0"
"Line 6","metro","extra","4","2050","2055","2.3","2.3","2.3","0"
"Line 76","metro","extra","13","2035","2045","1.7","0.8","2.9","1"
"No Idea","metro","extra","12","2035","2045","1.8","1","2.2","0"
"Orange Line","metro","extra","29","2025","2025","2.3","0.3","8.5","0"
"Purple line","metro","extra","39","2060","2060","2.2","0.7","3.1","3"
"Red Line","metro","extra","24","2025","2025","1.9","0.3","4","0"
"Blue","metro","fw","6","2035","2050","2.4","0.6","4.3","6"
"Blue;Orange;Pink;Purple","metro","fw","1","2035","2060","0.4","0.4","0.4","0"
"Orange","metro","fw","4","2035","2060","2.5","0.9","6.6","8"
"Orange;Pink","metro","fw","10","2035","2035","0.8","0.4","1.4","0"
"Orange;Pink;Purple","metro","fw","1","2035","2060","0.4","0.4","0.4","0"
"Orange;Purple","metro","fw","2","2035","2060","0.7","0.6","0.7","0"
"Orange;Red","metro","fw","3","2035","2050","2.1","0.9","3.2","0"
"Pink","metro","fw","4","2035","2060","3.1","1.1","6.5","7"
"Purple","metro","fw","3","2060","2060","1.8","1.2","2.6","4"
"Red","metro","fw","2","2050","2050","3.8","2","5.6","2"
"Silver","metro","fw","43","2050","2050","2.4","0.8","5.7","7"
"Teal","metro","fw","7","2035","2060","2.3","0.7","4.3","7"
"Teal;Blue","metro","fw","6","2035","2050","1.6","0.6","2.8","0"
"Teal;Orange;Pink","metro","fw","1","2035","2035","0.4","0.4","0.4","0"
