"Name","Line","Pop1k","Jobs1k","Act1k"
"Sundance Square","Purple","7756","43279","51035"
"Convention Center","Purple","7072","42749","49821"
"Courthouse","Purple","7715","38906","46621"
"Central Station","Blue","6345","36322","42667"
"A Stop","Blue","8090","32150","40240"
"Magnolia E","Orange","7835","31821","39656"
"W 7th E","Teal","6608","29245","35853"
"TCC Trinity River","Teal","7676","28109","35785"
"W 7th W","Teal","6496","26404","32900"
"Magnolia W","Orange","5516","23702","29218"
"Medical City - Baylor","Orange","3960","21641","25601"
"Trinity Bluff","Teal","3286","20541","23827"
"Arlington Heights","Teal","8871","9693","18564"
"TCU E","Yellow(P3)","10816","5740","16556"
"TCU","Yellow(P3)","9665","6510","16175"
"Museum Way","Teal","4886","9151","14037"
"Six Points","Teal","7659","6158","13817"
"Ridgmar","Teal","8177","5325","13502"
"John Peter Smith","Purple","3508","9255","12763"
"Mercado","Purple-N","7978","2272","10250"
"Haltom North","Teal","4094","5951","10045"
"S Main S","Purple","2758","7280","10038"
"Waterside","Orange","7353","1907","9260"
"Hemphill/Berry","Purple","6467","2506","8973"
"Stonegate","Orange","4387","4323","8710"
"Woodhaven","Teal-E","6653","1832","8485"
"Bluebonnet Circle","Yellow/mix","3409","4818","8227"
"BRT","BRT","6144","1591","7735"
"Marine Park","Purple-N","5022","2525","7547"
"Polytechnic/Weslyan","Blue","6348","1129","7477"
"Ridglea Hills","Teal","4196","3252","7448"
"Stockyards Main","Purple","4176","3076","7252"
"Lake Worth","Silver(P2)","2185","4803","6988"
"Lancaster Ave","Blue","4409","2485","6894"
"La Gran Plaza","Purple","4322","2487","6809"
"T&P Station","Purple","1877","3050","4927"
"S Main","Purple","1877","3050","4927"
"Stockyards North","Purple-N","3122","1803","4925"
"Berry/Stalcup","Silver-E(P2)","4537","327","4864"
"Oakland Corners","Blue","3874","779","4653"
"Clearfork","Orange","889","3726","4615"
"Renaissance Square","Silver-E(P2)","3468","1099","4567"
"Handley","Blue","3074","843","3917"
"Butler Place","Blue","2347","1490","3837"
"Panther Island South","Purple-N","1285","1741","3026"
"Fair Oaks","Silver(P2)","2762","212","2974"
"Berry/Riverside","Silver-E(P2)","2659","237","2896"
"NAS JRB","BRT","1696","1167","2863"
"University Park","Orange","1433","1073","2506"
"BRT/ Subway","BRT","946","1549","2495"
"Ridgmar Mall / BRT Transfer","Teal","1318","569","1887"
"Panther Island - Lagrave","Purple-N","601","1211","1812"
"My Lan (My Favorites)","Teal","1613","88","1701"
"NRH2YIMBY","Teal","1188","263","1451"
"The L Word","BRT","1002","284","1286"
"Meacham Airport","Purple","0","0","0"
"Riverbend","Yellow/mix","0","0","0"
